DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ira_no_neumonia,neumonias_men5,neumonias_60mas,hospitalizados_men5,hospitalizados_60mas,defunciones_men5,defunciones_60mas,TOTAL_CASOS,POBLACION,TASA_INCIDENCIA,ESTRATO,PRODUCCION
ACHOMA,CAYLLOMA,2021,11,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,817.0,7.343941248470013,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2021,12,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,817.0,25.703794369645042,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2022,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,815.0,17.177914110429448,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2022,2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,815.0,6.134969325153374,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2022,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,815.0,3.6809815950920246,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2022,4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,815.0,22.085889570552148,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2022,5,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,815.0,22.085889570552148,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2022,6,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,815.0,25.766871165644172,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2022,7,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,815.0,20.858895705521473,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2022,8,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,815.0,28.220858895705522,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2022,9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,815.0,15.950920245398775,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2022,10,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,815.0,17.177914110429448,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2022,11,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,815.0,7.361963190184049,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2022,12,19.0,0.0,1.0,0.0,1.0,0.0,1.0,20.0,815.0,24.539877300613497,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2023,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,812.0,14.778325123152708,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2023,2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,812.0,9.852216748768473,NO MINERIA,0.0
