DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ESTRATO,PRODUCCION
CALLALLI,CAYLLOMA,2021,5,RÉGIMEN GENERAL,32460.0
CALLALLI,CAYLLOMA,2021,6,RÉGIMEN GENERAL,30810.0
CALLALLI,CAYLLOMA,2021,7,RÉGIMEN GENERAL,32910.0
CALLALLI,CAYLLOMA,2021,8,RÉGIMEN GENERAL,30178.35
CALLALLI,CAYLLOMA,2021,9,RÉGIMEN GENERAL,48808.0
CALLALLI,CAYLLOMA,2021,10,RÉGIMEN GENERAL,30576.56
CALLALLI,CAYLLOMA,2021,11,RÉGIMEN GENERAL,32220.0
CALLALLI,CAYLLOMA,2021,12,RÉGIMEN GENERAL,26490.0
CALLALLI,CAYLLOMA,2022,1,RÉGIMEN GENERAL,30888.0
CALLALLI,CAYLLOMA,2022,2,RÉGIMEN GENERAL,35673.0
CALLALLI,CAYLLOMA,2022,3,RÉGIMEN GENERAL,18018.0
CALLALLI,CAYLLOMA,2022,4,RÉGIMEN GENERAL,1815.0
CALLALLI,CAYLLOMA,2022,5,RÉGIMEN GENERAL,693.0
CALLALLI,CAYLLOMA,2022,6,RÉGIMEN GENERAL,34557.0
CALLALLI,CAYLLOMA,2022,7,RÉGIMEN GENERAL,28545.0
CALLALLI,CAYLLOMA,2022,8,RÉGIMEN GENERAL,31995.0
CALLALLI,CAYLLOMA,2022,9,RÉGIMEN GENERAL,24651.0
CALLALLI,CAYLLOMA,2022,10,RÉGIMEN GENERAL,29799.0
CALLALLI,CAYLLOMA,2022,11,RÉGIMEN GENERAL,10758.0
CALLALLI,CAYLLOMA,2022,12,RÉGIMEN GENERAL,0.0
CALLALLI,CAYLLOMA,2023,1,RÉGIMEN GENERAL,11477.0
CALLALLI,CAYLLOMA,2023,2,RÉGIMEN GENERAL,50011.0
CALLALLI,CAYLLOMA,2023,3,RÉGIMEN GENERAL,48000.0
CALLALLI,CAYLLOMA,2023,4,RÉGIMEN GENERAL,6120.0
CALLALLI,CAYLLOMA,2023,5,RÉGIMEN GENERAL,14346.0
CALLALLI,CAYLLOMA,2023,6,RÉGIMEN GENERAL,25159.0
CALLALLI,CAYLLOMA,2023,7,RÉGIMEN GENERAL,21987.0
CALLALLI,CAYLLOMA,2023,8,RÉGIMEN GENERAL,29040.0
CALLALLI,CAYLLOMA,2023,9,RÉGIMEN GENERAL,17520.0
CALLALLI,CAYLLOMA,2023,10,RÉGIMEN GENERAL,14460.0
CALLALLI,CAYLLOMA,2023,11,RÉGIMEN GENERAL,23580.0
CALLALLI,CAYLLOMA,2023,12,RÉGIMEN GENERAL,24120.0
CALLALLI,CAYLLOMA,2024,1,RÉGIMEN GENERAL,26378.0
CALLALLI,CAYLLOMA,2024,2,RÉGIMEN GENERAL,6652.06
CALLALLI,CAYLLOMA,2024,3,RÉGIMEN GENERAL,1850.0
CALLALLI,CAYLLOMA,2024,4,RÉGIMEN GENERAL,1105.0
